Q2,Q1
What is your gender? ,
Male,male
Male,female
Female,x
Male,male
Male,x
Male,
Male,
Female,
Male,
Male,
Male,
Male,
Male,
Male,
Male,
Female,
Male,
Male,
Male,
Male,
Female,
Male,
Male,
Male,
Male,
Male,
Male,
Male,
Female,
Female,
Male,
Male,
Female,
Female,
Male,
Male,
Male,
Male,
Male,
Female,
Male,
Male,
Male,
Male,
Male,
Male,
Male,
Male,
Female,
Male,
Male,
Male,
Male,
Male,
Male,
Male,
Female,
Male,
Male,
Female,
Male,
Male,
Female,
Male,
Prefer to self-describe,
Male,
Prefer not to say,
Male,
Male,
Male,
Male,
Male,
Male,
Male,
Female,
Male,
Male,
Male,
Male,
Male,
Male,
Male,
Male,
Female,
Male,
Female,
Male,
Male,
Male,
Male,
Male,
Male,
Male,
Male,
Male,
Male,
Male,
Male,
